Key	English	Nepali	Remarks
home	Home	घर	
apply_leave	Apply Leave.	छुट्टी लागू गर्नुहोस्।	
my_account	My Account	मेरो खाता	
change_language	Change Language	भाषा परिवर्तन गर्नुहोस्	
profile	Profile	पाश्र्वचित्र	
reports	Reports	रिपोर्टहरू	
settings	Settings	बतंग	
logout	Logout	बाहिर निस्कनु	
accept	Accept	ग्रहण गर्नु	
removed	You have been removed from the	तपाईं बाट हटाइएको छ	
decline	Decline	हास	
today	Today	आज	
income_history	Income History	आय इतिहास	
weekly	Weekly	साप्ताहिक	
monthly	Monthly	मासिक	
annual	Annual	वार्षिक	
otp_verification	Otp Verification	ओटीपी प्रमाणिकरण	
enter_oto_sent_to	Enter the OTP sent to	ओटीपीमा पठाउनुहोस्	
verify	Verify	ठीक छ की छैन हेर्नु	
close	Close	घनिष्ट	
get_otp	Get OTP	OTP प्राप्त गर्नुहोस्	
mobile_number	Mobile Number	मोबाइल नम्बर	
will_send_otp	We will send you one time password on this mobile number	हामी तपाईंलाई यस मोबाइल नम्बरमा एक पटक पासवर्ड पठाउनेछौं	
read_and_agree	I have read and agree	मैले पढेको छु र सहमत छु	
terms_and_services	Terms & Services	नियम र सेवाहरू	
login_with_candidate	Candidate can login and logout on official hours and employer can notice staffs activities and generate reports.	उम्मेदवार लगईन र लगआउट गर्न सक्दछ आधिकारिक घण्टा र नियोक्ताले याद गर्न सक्दछ कर्मचारी गतिविधिहरू र रिपोर्टहरू उत्पन्न गर्नुहोस्।	
manage_time_and_track	Hajir will help you to manage your  staff’s attendance, payrole and personal report of your company.	हजिरले तपाईंलाई तपाईंको प्रबन्ध गर्न मद्दत गर्दछ स्टाफको उपस्थिति, पेरोबिल र व्यक्तिगत तपाईंको कम्पनीको रिपोर्ट।	
live_attendance	Salary calculation made easy, track your staffs overtime, leave day, late day and live daily wages interactive reports.	तलब गणनाले सजिलो बनायो, तपाईंको ट्र्याक गर्नुहोस् कर्मचारीहरू ओभरटाइम, दिन, ढिलो दिन छोड्नुहोस् र प्रत्यक्ष दैनिक ज्याला अन्तर्क्रियात्मक रिपोर्टहरू।	
did_not_receive_otp	Didnt not receive OTP?	ओटीपी प्राप्त गरेन?	
resent_otp_in	 OTP Resend in 12:02	 OTP 12:02 मा रिसेट गर्नुहोस्	
not_invited_to_company	You’ve not invited to company yet.	तिमीलाई आमन्त्रित गर्नुहुन्न कम्पनी अझै।	
is_invited_to_join_company	is invited to join a company	एक कम्पनीमा सामेल हुन आमन्त्रित गरिएको छ	
apply_for_leave	Apply For  leave	छोड्नुको लागि आवेदन दिनुहोस्	
not_created_company	You’ve not created  company yet.	तपाईंले सृष्टि गर्नुभएको छैन कम्पनी अझै।	
Designation	Create a company	एक कम्पनी सिर्जना गर्नुहोस्	
click_below_to_login	Click below to continue login as	लगइन जारी राख्न तल क्लिक गर्नुहोस्	
welcome	Welcome to	स्वागत छ	
to	to	तिर	
candidate	Candidate	उम्मेदवार	
employer	Employer	काम दिनु ब्यक्ति	
or	OR	अथवा	
